St,A,St1
1,false,2
5,true,1
2,false,3
5,true,1
5,true,1
3,true,1
5,true,1
1,false,2
2,false,3
2,true,1
1,false,2
3,true,1
3,true,1
1,true,1
3,true,1
5,true,1
4,false,5
5,true,1
1,false,2
1,false,2
2,false,3
1,false,2
1,false,2
5,true,1
3,true,1
3,true,1
4,true,1
3,true,1
1,false,2
2,false,3
4,true,1
5,true,1
2,true,1
2,true,1
1,false,2
4,false,5
2,true,1
4,false,5
4,true,1
1,false,2
1,false,2
2,false,3
4,true,1
1,true,1
2,false,3
2,true,1
3,true,1
5,true,1
2,true,1
2,false,3
4,true,1
5,true,1
5,true,1
2,false,3
1,false,2
3,true,1
2,true,1
3,false,4
1,false,2
5,true,1
3,true,1
1,false,2
1,false,2
4,true,1
4,true,1
5,true,1
3,true,1
5,true,1
3,true,1
2,false,3
4,true,1
5,true,1
2,false,3
2,false,3
5,true,1
1,false,2
2,false,3
1,true,1
5,true,1
3,false,4
2,true,1
5,true,1
1,false,2
3,false,4
2,false,3
1,false,2
1,false,2
5,true,1
1,false,2
4,true,1
2,true,1
3,true,1
4,true,1
2,false,3
1,false,2
4,true,1
5,true,1
5,true,1
3,true,1
5,true,1
2,true,1
4,true,1
2,true,1
3,true,1
2,false,3
3,true,1
5,true,1
5,true,1
2,true,1
3,true,1
1,false,2
4,true,1
5,true,1
2,true,1
2,false,3
5,true,1
1,false,2
2,true,1
5,true,1
1,true,1
2,false,3
4,true,1
3,true,1
2,true,1
5,true,1
1,false,2
3,true,1
3,true,1
3,true,1
5,true,1
4,true,1
4,true,1
5,false,5
2,true,1
5,true,1
4,true,1
2,true,1
4,true,1
1,true,1
2,false,3
4,false,5
5,true,1
4,true,1
5,true,1
4,true,1
3,false,4
2,false,3
3,true,1
3,false,4
5,true,1
1,true,1
2,true,1
2,false,3
1,true,1
3,true,1
1,false,2
3,false,4
2,false,3
3,true,1
2,true,1
5,true,1
4,true,1
3,false,4
5,false,5
5,true,1
2,true,1
5,true,1
3,true,1
4,false,5
2,false,3
1,true,1
3,true,1
5,true,1
5,true,1
4,false,5
2,false,3
1,false,2
4,true,1
3,false,4
1,false,2
4,true,1
1,true,1
4,true,1
5,true,1
1,false,2
5,true,1
5,true,1
2,false,3
3,false,4
4,true,1
1,true,1
2,false,3
1,true,1
3,true,1
1,false,2
1,false,2
5,true,1
5,true,1
2,false,3
3,false,4
1,false,2
5,true,1
4,true,1
4,true,1
2,false,3
4,true,1
4,false,5
4,true,1
5,true,1
3,true,1
1,false,2
4,true,1
1,false,2
1,false,2
5,true,1
5,true,1
4,true,1
3,true,1
2,true,1
3,false,4
5,true,1
4,true,1
4,true,1
3,true,1
3,true,1
1,false,2
2,true,1
5,true,1
1,true,1
3,false,4
3,true,1
2,false,3
4,false,5
5,true,1
5,true,1
4,true,1
4,true,1
2,false,3
1,true,1
5,true,1
2,false,3
3,true,1
4,true,1
2,false,3
5,true,1
3,true,1
1,false,2
1,false,2
1,false,2
5,true,1
1,true,1
1,false,2
1,true,1
5,true,1
5,true,1
2,false,3
4,true,1
1,false,2
2,false,3
1,false,2
2,true,1
5,true,1
4,true,1
2,false,3
3,true,1
4,true,1
1,false,2
5,true,1
5,true,1
5,false,5
2,false,3
3,true,1
5,true,1
5,true,1
5,true,1
3,true,1
1,false,2
3,true,1
3,true,1
4,true,1
4,true,1
2,false,3
3,false,4
5,true,1
3,false,4
3,true,1
2,true,1
4,true,1
4,true,1
3,true,1
2,true,1
5,true,1
5,true,1
1,false,2
2,false,3
2,false,3
1,true,1
4,true,1
2,false,3
1,false,2
2,true,1
5,true,1
5,true,1
5,true,1
4,true,1
2,true,1
5,true,1
1,false,2
4,true,1
5,true,1
4,true,1
4,true,1
3,true,1
2,false,3
5,true,1
5,true,1
1,true,1
1,false,2
5,true,1
5,true,1
2,true,1
4,true,1
5,true,1
5,true,1
5,true,1
5,true,1
3,false,4
2,true,1
5,true,1
4,true,1
1,false,2
2,false,3
2,false,3
5,true,1
4,true,1
2,true,1
2,true,1
1,false,2
3,true,1
2,true,1
4,true,1
4,true,1
1,false,2
1,false,2
4,true,1
5,false,5
3,false,4
2,false,3
1,true,1
2,true,1
4,true,1
2,true,1
3,false,4
5,true,1
2,false,3
2,true,1
1,false,2
5,true,1
2,false,3
4,true,1
5,true,1
2,true,1
5,true,1
2,true,1
1,false,2
1,false,2
5,true,1
1,false,2
1,false,2
5,true,1
4,true,1
5,true,1
5,true,1
5,true,1
2,false,3
1,false,2
5,true,1
1,false,2
1,false,2
5,true,1
3,true,1
1,false,2
1,false,2
5,true,1
2,true,1
4,true,1
1,false,2
2,true,1
4,true,1
3,true,1
4,true,1
4,true,1
3,true,1
1,false,2
4,true,1
1,true,1
2,false,3
2,true,1
3,true,1
4,true,1
5,true,1
1,true,1
3,false,4
1,true,1
3,true,1
1,true,1
5,true,1
2,true,1
1,true,1
2,true,1
4,true,1
5,true,1
5,true,1
2,true,1
3,true,1
3,true,1
2,true,1
3,false,4
1,false,2
2,true,1
1,false,2
5,true,1
3,true,1
2,true,1
1,false,2
1,false,2
4,true,1
1,false,2
1,false,2
3,false,4
1,true,1
5,true,1
3,true,1
4,true,1
5,true,1
1,false,2
2,false,3
4,true,1
3,true,1
3,false,4
4,true,1
3,true,1
5,true,1
1,false,2
5,true,1
1,false,2
2,false,3
3,false,4
5,true,1
4,true,1
5,true,1
2,true,1
1,true,1
4,true,1
4,true,1
1,false,2
2,false,3
4,true,1
2,true,1
1,false,2
3,true,1
1,false,2
1,false,2
1,false,2
5,true,1
2,true,1
1,false,2
5,true,1
4,true,1
1,true,1
3,true,1
1,false,2
4,true,1
5,true,1
4,true,1
1,false,2
1,false,2
4,true,1
4,true,1
1,false,2
5,true,1
4,true,1
4,true,1
1,false,2
1,true,1
1,false,2
4,false,5
2,false,3
1,true,1
1,true,1
2,false,3
3,true,1
2,true,1
2,true,1
3,true,1
3,true,1
5,true,1
4,true,1
5,true,1
3,true,1
2,false,3
3,true,1
3,false,4
4,true,1
4,true,1
4,true,1
4,true,1
2,false,3
2,false,3
3,true,1
5,true,1
1,false,2
5,true,1
1,true,1
1,false,2
3,true,1
4,true,1
5,true,1
4,true,1
4,true,1
4,true,1
4,true,1
5,true,1
1,false,2
2,true,1
5,true,1
5,true,1
5,true,1
3,true,1
2,false,3
5,true,1
2,true,1
4,true,1
4,false,5
3,true,1
3,true,1
5,true,1
3,false,4
5,true,1
5,true,1
3,false,4
3,false,4
1,true,1
4,true,1
3,true,1
2,true,1
2,false,3
4,true,1
4,true,1
3,false,4
3,true,1
4,true,1
5,true,1
5,true,1
5,true,1
2,true,1
3,true,1
5,true,1
1,false,2
5,true,1
1,false,2
1,true,1
5,true,1
3,true,1
4,true,1
5,false,5
1,false,2
1,false,2
1,false,2
4,true,1
4,true,1
1,false,2
1,false,2
3,true,1
3,true,1
2,true,1
2,false,3
5,true,1
1,false,2
5,true,1
1,false,2
3,true,1
2,false,3
3,true,1
1,false,2
3,false,4
1,false,2
2,false,3
1,false,2
2,true,1
4,true,1
4,false,5
4,true,1
2,true,1
2,false,3
4,true,1
4,true,1
3,true,1
2,false,3
5,true,1
2,true,1
4,true,1
5,true,1
5,true,1
4,true,1
4,true,1
4,true,1
5,true,1
4,true,1
1,false,2
4,true,1
1,true,1
5,true,1
1,false,2
5,true,1
2,true,1
5,false,5
4,true,1
1,true,1
4,true,1
3,true,1
1,false,2
3,true,1
4,true,1
3,false,4
1,false,2
4,false,5
3,true,1
1,false,2
2,true,1
4,true,1
5,true,1
2,true,1
4,true,1
2,true,1
4,true,1
5,true,1
3,true,1
1,false,2
5,true,1
1,false,2
5,true,1
1,false,2
4,true,1
5,true,1
2,true,1
4,true,1
2,true,1
3,false,4
5,true,1
1,false,2
5,true,1
3,true,1
1,true,1
1,true,1
4,false,5
3,false,4
1,true,1
1,false,2
4,true,1
3,true,1
5,true,1
3,true,1
1,true,1
1,false,2
1,false,2
4,true,1
3,true,1
2,false,3
5,true,1
4,true,1
2,false,3
4,true,1
4,true,1
4,true,1
3,true,1
2,false,3
2,false,3
4,true,1
5,true,1
1,false,2
3,true,1
5,true,1
4,true,1
3,true,1
2,true,1
3,true,1
2,false,3
2,true,1
2,true,1
2,true,1
5,true,1
4,true,1
1,false,2
5,true,1
5,false,5
1,false,2
4,true,1
5,true,1
3,false,4
2,true,1
4,true,1
5,true,1
1,false,2
2,false,3
4,true,1
5,true,1
1,false,2
2,false,3
2,true,1
5,true,1
2,false,3
1,true,1
5,true,1
5,true,1
2,true,1
3,true,1
4,true,1
2,true,1
5,true,1
5,true,1
2,false,3
5,true,1
1,false,2
5,true,1
2,false,3
5,true,1
3,true,1
2,true,1
1,false,2
2,false,3
5,true,1
4,true,1
2,false,3
3,true,1
2,false,3
4,true,1
4,false,5
2,false,3
5,true,1
2,true,1
4,true,1
3,true,1
5,true,1
2,false,3
2,true,1
4,true,1
4,true,1
4,true,1
1,false,2
4,true,1
5,true,1
1,false,2
2,true,1
2,false,3
1,false,2
3,true,1
4,false,5
2,false,3
3,true,1
5,true,1
2,false,3
4,true,1
4,true,1
3,true,1
1,false,2
5,true,1
4,true,1
2,true,1
3,true,1
5,true,1
5,true,1
3,true,1
4,true,1
5,true,1
1,false,2
4,true,1
4,true,1
2,true,1
2,true,1
3,true,1
4,true,1
5,true,1
2,true,1
3,true,1
4,true,1
1,true,1
3,false,4
2,true,1
5,true,1
2,true,1
3,true,1
3,true,1
2,true,1
3,false,4
5,true,1
1,false,2
4,true,1
3,true,1
5,true,1
5,true,1
1,true,1
1,false,2
5,true,1
5,true,1
4,true,1
1,false,2
5,true,1
5,true,1
5,true,1
3,true,1
1,false,2
4,true,1
3,true,1
5,true,1
3,true,1
4,true,1
3,false,4
1,false,2
2,true,1
2,true,1
4,true,1
4,false,5
4,true,1
3,true,1
5,true,1
5,true,1
4,true,1
3,false,4
4,true,1
3,false,4
3,true,1
4,true,1
1,true,1
5,true,1
3,false,4
2,true,1
1,false,2
5,true,1
3,true,1
1,false,2
1,false,2
4,false,5
3,true,1
2,false,3
1,false,2
3,true,1
2,false,3
1,false,2
5,true,1
3,true,1
3,true,1
4,true,1
1,true,1
5,true,1
1,false,2
5,true,1
5,true,1
1,false,2
2,true,1
4,true,1
4,true,1
4,true,1
1,false,2
1,false,2
4,true,1
3,true,1
4,true,1
5,true,1
2,true,1
2,true,1
2,true,1
5,true,1
3,true,1
3,false,4
3,true,1
3,true,1
4,true,1
3,true,1
2,false,3
5,true,1
5,true,1
3,true,1
3,true,1
1,false,2
2,false,3
1,false,2
2,true,1
3,true,1
5,true,1
5,true,1
2,false,3
5,true,1
5,true,1
5,true,1
5,true,1
3,true,1
5,true,1
2,true,1
1,false,2
2,false,3
3,true,1
1,false,2
3,true,1
2,false,3
5,true,1
3,false,4
5,true,1
5,true,1
3,true,1
5,true,1
1,false,2
2,false,3
3,true,1
3,false,4
5,true,1
5,true,1
2,false,3
4,true,1
1,false,2
3,true,1
4,false,5
3,true,1
4,false,5
1,false,2
3,true,1
2,false,3
3,false,4
5,true,1
1,true,1
1,true,1
3,true,1
1,false,2
5,true,1
4,true,1
5,true,1
1,false,2
1,false,2
3,false,4
4,false,5
1,true,1
4,false,5
3,true,1
3,true,1
5,true,1
2,true,1
3,false,4
1,false,2
5,true,1
5,true,1
5,true,1
4,true,1
4,true,1
1,false,2
5,true,1
5,true,1
4,true,1
3,true,1
2,false,3
4,true,1
4,true,1
3,false,4
3,true,1
1,false,2
5,true,1
3,true,1
5,true,1
1,false,2
5,true,1
2,true,1
2,false,3
4,true,1
2,true,1
4,false,5
5,true,1
4,true,1
4,true,1
1,true,1
3,true,1
1,false,2
3,false,4
1,false,2
4,true,1
4,true,1
5,true,1
2,false,3
1,false,2
4,true,1
4,true,1
1,false,2
2,false,3
2,false,3
2,false,3
5,true,1
3,false,4
5,true,1
5,true,1
3,true,1
4,true,1
4,true,1
2,false,3
1,false,2
5,true,1
1,false,2
5,true,1
4,true,1
1,false,2
1,false,2
2,true,1
3,true,1
2,true,1
5,true,1
5,true,1
4,true,1
5,true,1
5,true,1
5,true,1
5,true,1
4,true,1
3,true,1
5,true,1
3,true,1
3,true,1
4,true,1
2,true,1
4,true,1
4,true,1
4,true,1
5,true,1
4,true,1
4,true,1
4,true,1
5,true,1
3,true,1
2,true,1
2,true,1
2,false,3
2,true,1
3,false,4
5,true,1
1,true,1
2,true,1
5,true,1
4,true,1
1,true,1
3,true,1
2,false,3
2,false,3
3,false,4
4,true,1
1,false,2
4,true,1
3,true,1
4,true,1
3,true,1
3,true,1
4,true,1
5,true,1
1,true,1
4,true,1
1,true,1
1,true,1
1,true,1
4,true,1
2,true,1
5,true,1
1,true,1
3,true,1
2,true,1
3,true,1
2,false,3
5,true,1
1,false,2
4,true,1
3,true,1
2,true,1
2,true,1
5,true,1
2,true,1
4,true,1
4,true,1
2,true,1
2,true,1
2,false,3
5,true,1
2,true,1
1,true,1
1,true,1
3,true,1
5,true,1
5,true,1
1,false,2
3,true,1
3,true,1
4,false,5
1,false,2
3,true,1
3,true,1
1,false,2
1,true,1
5,true,1
4,true,1
1,true,1
4,true,1
3,false,4
1,false,2
5,true,1
1,false,2
4,true,1
5,true,1
1,false,2
2,true,1
3,true,1
1,true,1
4,false,5
5,true,1
5,true,1
3,true,1
4,true,1
4,true,1
3,true,1
3,false,4
2,true,1
2,false,3
5,true,1
1,true,1
4,true,1
1,false,2
4,true,1
5,true,1
2,false,3
4,true,1
3,false,4
2,false,3
2,false,3
4,true,1
2,true,1
1,false,2
2,true,1
1,false,2
1,false,2
4,true,1
4,true,1
3,true,1
5,true,1
2,false,3
4,true,1
3,true,1
5,true,1
4,true,1
2,false,3
2,false,3
1,false,2
5,true,1
3,true,1
5,true,1
1,false,2
3,true,1
2,false,3
5,true,1
1,false,2
4,true,1
3,true,1
3,false,4
3,true,1
2,false,3
1,false,2
3,true,1
2,true,1
1,true,1
2,true,1
5,true,1
2,true,1
5,true,1
3,true,1
3,false,4
2,false,3
3,false,4
5,true,1
3,true,1
2,false,3
5,true,1
1,true,1
4,true,1
3,true,1
3,true,1
5,true,1
3,true,1
5,true,1
1,true,1
2,true,1
2,true,1
5,true,1
2,false,3
5,true,1
5,true,1
5,true,1
2,true,1
3,true,1
4,false,5
5,true,1
5,true,1
4,false,5
4,true,1
5,true,1
3,true,1
4,true,1
1,false,2
4,false,5
2,true,1
4,true,1
5,true,1
4,true,1
3,true,1
4,true,1
4,true,1
4,true,1
3,true,1
1,false,2
3,false,4
5,true,1
3,false,4
5,true,1
5,true,1
3,true,1
4,true,1
4,true,1
3,true,1
4,true,1
4,true,1
5,true,1
5,true,1
1,false,2
2,false,3
3,true,1
4,true,1
4,true,1
4,true,1
4,true,1
2,false,3
1,false,2
2,false,3
4,true,1
3,true,1
1,false,2
2,true,1
3,true,1
4,true,1
4,true,1
1,false,2
5,true,1
5,true,1
5,true,1
1,false,2
2,true,1
5,true,1
4,true,1
5,true,1
5,true,1
1,false,2
1,false,2
1,false,2
2,false,3
3,false,4
3,true,1
4,true,1
4,true,1
5,true,1
4,true,1
3,true,1
1,false,2
5,true,1
3,true,1
4,true,1
2,false,3
5,false,5
1,false,2
2,true,1
5,true,1
1,false,2
4,true,1
4,true,1
1,false,2
3,false,4
3,true,1
1,false,2
1,true,1
3,true,1
3,true,1
3,true,1
3,true,1
4,true,1
4,true,1
1,false,2
3,true,1
2,false,3
1,true,1
5,true,1
3,false,4
1,true,1
1,false,2
1,false,2
1,false,2
5,true,1
1,true,1
4,true,1
2,false,3
5,true,1
4,true,1
3,true,1
4,true,1
4,true,1
2,true,1
3,true,1
5,true,1
3,true,1
3,false,4
2,false,3
1,false,2
1,false,2
2,true,1
4,true,1
3,false,4
3,true,1
4,true,1
5,false,5
1,true,1
4,true,1
3,true,1
2,true,1
2,false,3
3,false,4
4,true,1
1,true,1
2,false,3
4,true,1
3,false,4
2,false,3
2,false,3
1,true,1
5,true,1
1,true,1
1,false,2
1,false,2
3,true,1
3,true,1
1,false,2
4,true,1
1,false,2
3,true,1
1,false,2
5,true,1
3,true,1
4,true,1
3,true,1
3,true,1
3,true,1
3,true,1
2,false,3
5,true,1
1,false,2
1,false,2
4,true,1
4,false,5
4,true,1
4,true,1
2,false,3
3,true,1
4,true,1
4,true,1
1,false,2
5,true,1
1,false,2
1,false,2
1,true,1
1,true,1
5,true,1
5,true,1
2,false,3
5,true,1
5,true,1
5,true,1
1,false,2
3,false,4
3,true,1
5,true,1
2,true,1
1,true,1
5,true,1
4,true,1
2,true,1
4,true,1
3,true,1
5,true,1
3,true,1
5,true,1
3,true,1
2,true,1
4,true,1
3,false,4
1,false,2
2,true,1
3,true,1
4,true,1
1,false,2
1,true,1
2,true,1
1,false,2
2,true,1
1,true,1
4,true,1
4,true,1
5,true,1
5,true,1
1,false,2
4,true,1
5,true,1
5,true,1
2,true,1
5,true,1
5,true,1
1,false,2
1,false,2
2,true,1
3,true,1
4,true,1
3,true,1
5,true,1
4,false,5
1,false,2
4,true,1
4,true,1
3,true,1
2,false,3
4,true,1
3,true,1
5,true,1
3,true,1
1,true,1
5,true,1
1,false,2
1,false,2
3,true,1
2,true,1
2,true,1
3,true,1
1,true,1
5,true,1
2,true,1
3,true,1
1,true,1
4,true,1
1,false,2
2,true,1
4,true,1
5,true,1
2,false,3
4,true,1
4,true,1
3,true,1
3,true,1
1,false,2
1,false,2
3,false,4
5,true,1
4,true,1
5,true,1
1,false,2
1,false,2
5,true,1
3,false,4
3,true,1
1,true,1
3,true,1
2,false,3
1,false,2
2,true,1
4,false,5
3,true,1
2,true,1
4,true,1
5,true,1
4,true,1
4,true,1
3,true,1
4,true,1
1,true,1
3,true,1
3,true,1
4,true,1
4,false,5
4,true,1
2,false,3
5,true,1
4,true,1
1,false,2
5,true,1
4,true,1
3,true,1
2,true,1
2,true,1
2,true,1
2,true,1
3,false,4
4,true,1
1,false,2
3,true,1
3,false,4
4,true,1
1,false,2
1,false,2
4,true,1
3,true,1
4,true,1
4,true,1
4,true,1
1,false,2
5,true,1
2,false,3
4,true,1
2,false,3
1,false,2
4,true,1
3,true,1
4,true,1
5,true,1
3,true,1
1,true,1
3,true,1
3,true,1
2,true,1
2,false,3
3,false,4
1,false,2
1,false,2
1,true,1
3,true,1
4,false,5
4,true,1
1,false,2
1,false,2
5,true,1
3,true,1
2,false,3
2,false,3
3,true,1
5,true,1
1,true,1
2,true,1
4,true,1
1,false,2
1,true,1
3,true,1
4,false,5
5,true,1
2,true,1
2,false,3
4,true,1
3,true,1
5,true,1
5,true,1
3,true,1
4,true,1
5,true,1
2,false,3
5,true,1
3,false,4
2,false,3
5,true,1
1,false,2
3,false,4
3,true,1
3,false,4
5,true,1
1,false,2
5,true,1
2,false,3
4,true,1
2,false,3
4,true,1
5,true,1
2,true,1
3,true,1
1,false,2
2,false,3
2,true,1
1,true,1
2,false,3
5,true,1
2,false,3
1,true,1
5,true,1
5,true,1
2,true,1
4,true,1
1,false,2
1,false,2
4,true,1
4,true,1
3,true,1
2,true,1
4,true,1
5,true,1
5,true,1
5,true,1
2,false,3
3,false,4
3,true,1
4,true,1
5,true,1
1,true,1
5,true,1
1,false,2
1,false,2
3,false,4
4,true,1
5,true,1
1,false,2
3,true,1
5,true,1
3,true,1
5,true,1
3,true,1
2,false,3
3,true,1
3,true,1
5,true,1
3,true,1
4,true,1
1,false,2
2,true,1
1,false,2
4,true,1
4,true,1
4,true,1
2,true,1
1,false,2
4,true,1
2,false,3
3,true,1
1,false,2
4,true,1
5,true,1
5,true,1
1,false,2
1,false,2
1,false,2
3,false,4
3,true,1
2,true,1
2,false,3
3,true,1
2,true,1
1,false,2
4,true,1
1,false,2
1,false,2
2,false,3
2,true,1
1,false,2
3,false,4
2,true,1
1,true,1
1,false,2
4,true,1
5,false,5
5,true,1
2,true,1
1,false,2
2,false,3
1,false,2
5,true,1
2,true,1
4,true,1
1,true,1
1,true,1
2,true,1
4,true,1
3,false,4
4,true,1
4,true,1
1,false,2
2,false,3
3,false,4
1,true,1
2,false,3
1,false,2
1,false,2
5,true,1
5,true,1
3,true,1
2,false,3
5,true,1
2,true,1
1,false,2
1,false,2
3,true,1
1,false,2
2,false,3
4,true,1
1,false,2
1,false,2
1,true,1
5,true,1
1,true,1
2,false,3
2,true,1
4,false,5
5,true,1
5,true,1
1,true,1
5,true,1
5,true,1
2,false,3
3,false,4
3,true,1
1,false,2
3,true,1
2,false,3
2,false,3
1,true,1
4,true,1
1,false,2
1,false,2
1,true,1
2,true,1
4,true,1
3,true,1
4,true,1
1,false,2
5,true,1
3,false,4
4,true,1
1,true,1
1,true,1
4,true,1
5,true,1
3,true,1
1,false,2
4,true,1
2,true,1
5,true,1
3,false,4
4,true,1
3,true,1
4,true,1
3,true,1
4,true,1
1,false,2
5,true,1
2,true,1
1,false,2
5,true,1
3,true,1
4,true,1
1,false,2
2,false,3
2,false,3
1,false,2
5,true,1
2,false,3
5,true,1
2,false,3
1,false,2
2,false,3
1,true,1
4,true,1
2,true,1
5,true,1
4,true,1
2,true,1
1,true,1
3,true,1
2,true,1
3,false,4
2,true,1
4,false,5
1,true,1
2,true,1
1,true,1
1,false,2
3,true,1
2,true,1
2,false,3
4,true,1
